Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e2758ecbc3b0642963d919,6779e07aeb6a0e66e84ae0e7,APPROVED,Not Applicable,2025-10-05T13:41:40.196000Z,2025-10-05T13:42:31.644000Z,2025-10-05T13:42:32.545000Z,2025-10-05T13:42:32.347312Z,52.0,C4H367G4,2272,24,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e275de99676893a0cdb8d4,615914a33224dc31f1045612,APPROVED,Not Applicable,2025-10-05T13:43:00.166000Z,2025-10-05T13:44:13.221000Z,2025-10-05T13:44:16.638000Z,2025-10-05T13:44:14.011314Z,74.0,C4H367G4,8239,65,Male,White,United States,United States,United States,English,No,Full-Time
68e276406d4e5f911a28ba4e,60cb3c4b9454f7a196355088,APPROVED,Not Applicable,2025-10-05T13:44:36.586000Z,2025-10-05T13:46:21.890000Z,2025-10-05T13:46:23.930000Z,2025-10-05T13:46:22.812032Z,106.0,C4H367G4,7603,38,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
68e2769aff2860aa1ec5805a,663aa5ef90785b13a70438e5,APPROVED,Not Applicable,2025-10-05T13:46:06.139000Z,2025-10-05T13:46:53.507000Z,2025-10-05T13:46:56.089000Z,2025-10-05T13:46:58.535600Z,48.0,C4H367G4,793,27,Female,Other,United States,United States,United States,English,No,Full-Time
68e2771ea074a5196c528ff0,5f600e7344526d10271dc7a6,APPROVED,Not Applicable,2025-10-05T13:48:18.540000Z,2025-10-05T13:49:16.870000Z,2025-10-05T13:49:18.665000Z,2025-10-05T13:49:25.760758Z,59.0,C4H367G4,1505,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
68e277af4c9c9429185eb85e,62ad17e032a85a4ca119b289,APPROVED,Not Applicable,2025-10-05T13:50:47.331000Z,2025-10-05T13:52:44.094000Z,2025-10-05T13:52:47.459000Z,2025-10-05T13:52:44.992968Z,117.0,C4H367G4,4163,45,Male,Other,United States,United States,United States,English,No,Full-Time
68e277cda55ae253bd0b02f1,61033627c32742424aeaaac1,APPROVED,Not Applicable,2025-10-05T13:51:13.289000Z,2025-10-05T13:51:59.253000Z,2025-10-05T13:52:01.199000Z,2025-10-05T13:52:04.779234Z,46.0,C4H367G4,1694,23,Female,White,United States,United States,United States,English,Yes,Part-Time
68e278154f34ffb2eac0075f,6753131f0c6e5b3901664dab,APPROVED,Not Applicable,2025-10-05T13:52:28.983000Z,2025-10-05T13:58:57.638000Z,2025-10-05T13:59:00.421000Z,2025-10-05T13:58:59.489363Z,389.0,C4H367G4,372,61,Male,Black,United States,United States,United States,English,No,Full-Time
68e2792b162c93a861f4431a,63b703a29611ae603966dac3,APPROVED,Not Applicable,2025-10-05T13:57:10.210000Z,2025-10-05T14:03:36.462000Z,2025-10-05T14:03:39.851000Z,2025-10-05T14:03:37.202530Z,387.0,C4H367G4,4917,27,Female,Mixed,United States,United States,United States,English,No,Full-Time
68e27930a089228e240e2615,672a0f49692a1a87ac2772da,APPROVED,Not Applicable,2025-10-05T13:57:07.685000Z,2025-10-05T13:57:49.415000Z,2025-10-05T13:57:52.817000Z,2025-10-05T13:57:50.319721Z,42.0,C4H367G4,318,24,Male,Mixed,United States,United States,United States,English,No,Full-Time
